Please provide a set of SQL commands that can scan my oracle database version 23,Naming conventions must clearly distinguish between production and non-production resources. 
Please provide a script to check if there is any web service running on the server operating system Redhat,All databases must be hosted on servers which do not perform any other functionality such as “web or application tier” or “Domain Services” functionality.  
My Oracle database version 23.. Please provide a script to check ,All databases must ensure that server-side scripting is disabled if not needed. 
Find a script or SQL command that helps to achieve these security metrics. The database engine is Oracle database version 23. The server operating system is Redhat.,"The default passwords for accounts and services that are mandatory, for example System Administrator and Listener, must be changed prior to being deployed.   "
Please provide a set of SQL commands that can scan my Oracle database version 23 to check,Test databases must not be installed upon production systems.  
Please provide a set of SQL commands that can scan my oracle database version 23,The versions of DBMS used must still be supported by the vendor.  
Please provide a set of SQL commands that can scan my oracle database version 23,"All administrator, user or application traffic to and from the DBMS must encrypted in line with SS-007 Use of Cryptography security standard [Ref. C].    "
Find a script or SQL command that helps to achieve these security metrics. The database engine is Oracle database version 23. The server operating system is Redhat.,"The database must not use unencrypted protocols or non-secure services (for example, HTTP, FTP etc.).  "
Please provide a script to check which ports are used. My database is on the server Oracle database 23c. The server operating system Redhat,Unnecessary services or ports must be disabled or removed and where possible. 
Please provide a script or SQL query to check for oracle database 23c. The server operating system Redhat,Databases must be configured to only listen for network connections on authorised interfaces.  
Check if the server for oracle database 23c. The server operating system Redhat.,The database servers must restrict network access using IP filtering. 
Please provide a script to check which ports are used. My database is on the server Oracle database 23c. The server operating system Redhat,The DBMS must avoid the need to run services with privileged accounts on the underlying host Operating System.  
Find the latest Oracle version available for Databse 23 and provide a script to provide the current version.,All installations of a DBMS must be up to date with all appropriate security patches prior to deployment into service in line with SS-033 Security Patching Standard [Ref. B]. 
Create a script to check if oracle database 23 are licensed,Only licensed software which has been verified as being authentic with the supplier can be used for a DBMS.  
Provide clear steps for oracle database 23c,All DMBS software authenticity checks must be completed via a cryptographic verification or some other form of secure validation.
Please provide a set of SQL commands that can scan my oracle database version 23,"Default accounts, examples, code, files, objects etc. that are no longer required after installation must be deleted from the DBMS and also the host operating system."
Please provide a set of SQL commands that can scan my oracle database version 23,"The DBMS configuration must not permit default accounts (e.g. PUBLIC) to remain active.  These must be either: a) Renamed, deleted or disabled (as appropriate); or b) The DBMS / object privileges must not be granted to default accounts which cannot be removed (or otherwise disabled) unless there is an explicit vendor requirement to do so; or c) If the default account cannot be renamed, deleted or disabled (such as root) access must be restricted to known administrative groups.  Access to such accounts / functions (which cannot be renamed, deleted or disabled) must prevent direct access and require the user to logon with their individual account and then escalate / change their privilege in a controlled and logged fashion.  "
